Product_ID,Category,Sub_Category,Brand,Product_Name,Price,Discount,Final_Price,Stock,Sold_Quantity,Rating,Reviews,Supplier,Purchase_Cost,Profit,Expiry_Date,Manufacturing_Date,Warehouse_Location,Shelf_Number,Customer_Age,Customer_Gender,Customer_Type,Payment_Method,Transaction_ID,Order_Status,Delivery_Time,Return_Status,Employee_ID,Shift,Feedback
P1013,Toys,Laptop,Nike,Item_D,1466,30,1026.2,171,4,4,271,Supplier_A,55,971.2,1/14/2025,1/14/2024,Location_A,26,44,Male,New,Cash,T50013,Cancelled,2,Not Returned,318,Evening,Average
P1014,Groceries,Mobile,Sony,Item_C,3870,5,3676.5,141,26,1.2,438,Supplier_B,366,3310.5,1/15/2025,1/15/2024,Location_B,25,28,Female,Regular,Cash,T50014,Completed,10,Returned,268,Morning,Good
P1015,Clothing,Chairs,LG,Item_C,390,22,304.2,106,9,2.6,302,Supplier_C,2889,-2584.8,1/16/2025,1/16/2024,Location_A,33,43,Female,VIP,Credit Card,T50015,Pending,5,Returned,240,Night,Average
P1016,Groceries,Vegetables,Apple,Item_B,809,47,428.77,40,20,4.7,406,Supplier_C,2299,-1870.23,1/17/2025,1/17/2024,Location_C,18,28,Male,VIP,Cash,T50016,Pending,5,Returned,716,Night,Bad
P1017,Furniture,Chairs,Nike,Item_B,2519,30,1763.3,96,35,4.5,317,Supplier_A,3609,-1845.7,1/18/2025,1/18/2024,Location_A,47,68,Male,Regular,Mobile Payment,T50017,Completed,3,Returned,568,Evening,Average
P1018,Groceries,Shirt,Sony,Item_B,3907,37,2461.41,82,50,4.3,116,Supplier_A,3688,-1226.59,1/19/2025,1/19/2024,Location_A,36,47,Female,New,Cash,T50018,Cancelled,6,Not Returned,128,Night,Average
P1019,Toys,Shirt,Samsung,Item_B,206,4,197.76,142,63,4.1,411,Supplier_C,2991,-2793.24,1/20/2025,1/20/2024,Location_C,3,53,Male,VIP,Credit Card,T50019,Completed,9,Not Returned,370,Night,Bad
P1020,Clothing,Laptop,Samsung,Item_C,1353,1,1339.47,18,67,4.4,180,Supplier_C,1582,-242.53,1/21/2025,1/21/2024,Location_C,3,69,Male,VIP,Credit Card,T50020,Completed,14,Not Returned,419,Morning,Average
P1021,Clothing,Shirt,Apple,Item_A,4563,5,4334.85,192,70,4.4,181,Supplier_A,3228,1106.85,1/22/2025,1/22/2024,Location_C,3,39,Female,VIP,Cash,T50021,Completed,10,Returned,570,Evening,Average
P1022,Groceries,Vegetables,Sony,Item_C,919,40,551.4,161,58,3.2,149,Supplier_B,3846,-3294.6,1/23/2025,1/23/2024,Location_C,28,52,Female,Regular,Cash,T50022,Pending,9,Returned,250,Night,Bad
P1023,Furniture,Mobile,Sony,Item_D,1128,0,1128,178,38,2.3,313,Supplier_B,3744,-2616,1/24/2025,1/24/2024,Location_B,38,26,Female,Regular,Mobile Payment,T50023,Cancelled,8,Returned,343,Morning,Good
P1024,Clothing,Vegetables,Nike,Item_B,4593,40,2755.8,55,37,3.6,444,Supplier_C,1301,1454.8,1/25/2025,1/25/2024,Location_B,17,25,Male,New,Mobile Payment,T50024,Cancelled,11,Not Returned,699,Night,Bad
P1025,Clothing,Laptop,LG,Item_C,1648,26,1219.52,169,87,1.5,168,Supplier_C,919,300.52,1/26/2025,1/26/2024,Location_B,1,58,Female,VIP,Mobile Payment,T50025,Cancelled,12,Not Returned,557,Morning,Bad
P1026,Toys,Vegetables,Apple,Item_A,1936,18,1587.52,198,69,1.8,217,Supplier_B,63,1524.52,1/27/2025,1/27/2024,Location_B,13,69,Male,VIP,Credit Card,T50026,Cancelled,5,Not Returned,801,Morning,Bad
P1027,Toys,Mobile,Samsung,Item_C,3446,45,1895.3,176,19,1.9,89,Supplier_A,2749,-853.7,1/28/2025,1/28/2024,Location_B,16,67,Male,VIP,Credit Card,T50027,Completed,5,Not Returned,257,Evening,Bad
P1028,Furniture,Vegetables,Samsung,Item_A,687,5,652.65,8,50,3.2,342,Supplier_C,1484,-831.35,1/29/2025,1/29/2024,Location_A,38,47,Male,VIP,Credit Card,T50028,Pending,8,Returned,853,Evening,Good
P1029,Clothing,Mobile,Apple,Item_B,3664,35,2381.6,81,6,3.3,433,Supplier_A,2466,-84.4,1/30/2025,1/30/2024,Location_B,15,24,Female,New,Mobile Payment,T50029,Cancelled,5,Not Returned,163,Morning,Good
P1030,Groceries,Vegetables,Apple,Item_C,3163,1,3131.37,75,69,2.8,163,Supplier_A,2192,939.37,1/31/2025,1/31/2024,Location_C,46,58,Female,Regular,Cash,T50030,Completed,5,Returned,496,Night,Bad
P1031,Electronics,Mobile,Apple,Item_C,1120,28,806.4,104,49,1.1,203,Supplier_A,257,549.4,2/1/2025,2/1/2024,Location_A,33,58,Male,VIP,Credit Card,T50031,Cancelled,7,Not Returned,120,Night,Bad
P1032,Groceries,Mobile,Samsung,Item_D,1501,33,1005.67,134,94,2,446,Supplier_B,3680,-2674.33,2/2/2025,2/2/2024,Location_C,2,35,Female,New,Credit Card,T50032,Cancelled,8,Not Returned,797,Night,Good
P1033,Furniture,Mobile,Apple,Item_D,2483,34,1638.78,168,29,2,360,Supplier_B,2376,-737.22,2/3/2025,2/3/2024,Location_C,48,69,Female,VIP,Credit Card,T50033,Pending,14,Returned,163,Morning,Good
P1034,Clothing,Vegetables,Nike,Item_C,900,2,882,196,85,2.1,31,Supplier_C,639,243,2/4/2025,2/4/2024,Location_B,4,44,Male,VIP,Mobile Payment,T50034,Completed,10,Returned,989,Night,Good
P1035,Electronics,Laptop,Sony,Item_A,4131,36,2643.84,85,76,4,103,Supplier_B,1549,1094.84,2/5/2025,2/5/2024,Location_A,14,41,Female,New,Mobile Payment,T50035,Cancelled,14,Returned,576,Night,Bad
P1036,Toys,Shirt,Apple,Item_B,3330,25,2497.5,34,26,2.6,204,Supplier_A,495,2002.5,2/6/2025,2/6/2024,Location_C,47,67,Male,Regular,Cash,T50036,Pending,13,Not Returned,253,Morning,Good
P1037,Furniture,Vegetables,Nike,Item_A,951,47,504.03,140,30,4.5,436,Supplier_B,1175,-670.97,2/7/2025,2/7/2024,Location_C,38,52,Male,New,Cash,T50037,Cancelled,13,Not Returned,137,Night,Good
P1038,Toys,Vegetables,Nike,Item_D,3321,29,2357.91,54,57,3.8,425,Supplier_C,1141,1216.91,2/8/2025,2/8/2024,Location_A,21,38,Male,VIP,Mobile Payment,T50038,Pending,2,Returned,123,Evening,Bad
P1039,Electronics,Mobile,LG,Item_A,96,20,76.8,55,82,4.3,492,Supplier_C,3603,-3526.2,2/9/2025,2/9/2024,Location_A,7,68,Female,New,Cash,T50039,Cancelled,6,Not Returned,670,Morning,Good
P1040,Toys,Mobile,Samsung,Item_C,4250,2,4165,154,4,3.1,440,Supplier_A,1214,2951,2/10/2025,2/10/2024,Location_C,4,50,Female,Regular,Credit Card,T50040,Pending,6,Returned,986,Evening,Bad
P1041,Electronics,Laptop,Apple,Item_C,3012,40,1807.2,77,90,3.5,412,Supplier_A,3728,-1920.8,2/11/2025,2/11/2024,Location_B,49,21,Male,Regular,Credit Card,T50041,Cancelled,8,Returned,642,Morning,Good
P1042,Furniture,Laptop,Nike,Item_B,874,43,498.18,76,64,3.4,333,Supplier_A,1592,-1093.82,2/12/2025,2/12/2024,Location_C,39,60,Female,VIP,Cash,T50042,Completed,7,Not Returned,155,Morning,Good
P1043,Clothing,Chairs,LG,Item_B,3512,47,1861.36,199,31,1.7,365,Supplier_A,3571,-1709.64,2/13/2025,2/13/2024,Location_B,10,26,Female,VIP,Mobile Payment,T50043,Cancelled,2,Not Returned,562,Evening,Average
P1044,Clothing,Laptop,Apple,Item_B,2693,44,1508.08,183,83,2.9,257,Supplier_A,1897,-388.92,2/14/2025,2/14/2024,Location_B,33,33,Female,New,Cash,T50044,Completed,9,Not Returned,507,Morning,Average
P1045,Electronics,Chairs,Sony,Item_D,548,3,531.56,138,85,3.2,111,Supplier_A,2715,-2183.44,2/15/2025,2/15/2024,Location_B,9,24,Male,New,Credit Card,T50045,Completed,11,Not Returned,791,Morning,Average
P1046,Electronics,Laptop,Nike,Item_C,1867,38,1157.54,62,95,1.6,491,Supplier_A,1259,-101.46,2/16/2025,2/16/2024,Location_C,48,51,Female,VIP,Cash,T50046,Cancelled,9,Not Returned,689,Night,Bad
P1047,Furniture,Vegetables,Nike,Item_C,3709,14,3189.74,18,67,2.2,155,Supplier_B,2255,934.74,2/17/2025,2/17/2024,Location_C,30,38,Male,Regular,Cash,T50047,Pending,2,Returned,785,Night,Average
P1048,Groceries,Vegetables,Samsung,Item_D,2873,29,2039.83,89,4,4.5,238,Supplier_C,3095,-1055.17,2/18/2025,2/18/2024,Location_C,3,39,Male,Regular,Credit Card,T50048,Pending,4,Not Returned,648,Morning,Bad
P1049,Groceries,Mobile,Nike,Item_C,4954,40,2972.4,173,36,2.2,421,Supplier_B,950,2022.4,2/19/2025,2/19/2024,Location_C,8,23,Female,VIP,Cash,T50049,Cancelled,9,Returned,433,Night,Good
P1050,Electronics,Shirt,Nike,Item_D,4461,20,3568.8,11,29,4.1,87,Supplier_C,3294,274.8,2/20/2025,2/20/2024,Location_A,38,54,Female,VIP,Credit Card,T50050,Pending,9,Returned,384,Night,Bad
P1051,Toys,Chairs,Samsung,Item_B,418,17,346.94,175,44,2.3,97,Supplier_B,3870,-3523.06,2/21/2025,2/21/2024,Location_B,20,27,Female,New,Mobile Payment,T50051,Completed,1,Returned,266,Morning,Good
P1052,Toys,Mobile,Apple,Item_C,2001,3,1940.97,53,54,3.9,483,Supplier_A,1156,784.97,2/22/2025,2/22/2024,Location_B,16,51,Female,New,Cash,T50052,Cancelled,12,Not Returned,432,Night,Good
P1053,Groceries,Chairs,LG,Item_B,3724,1,3686.76,151,40,3.6,89,Supplier_B,3816,-129.24,2/23/2025,2/23/2024,Location_B,4,54,Male,VIP,Credit Card,T50053,Pending,12,Not Returned,985,Night,Good
P1054,Groceries,Laptop,Apple,Item_A,3860,10,3474,155,6,1.9,57,Supplier_B,369,3105,2/24/2025,2/24/2024,Location_C,47,69,Male,New,Cash,T50054,Pending,5,Returned,858,Morning,Good
P1055,Clothing,Shirt,Sony,Item_A,1653,24,1256.28,122,45,3.5,167,Supplier_B,895,361.28,2/25/2025,2/25/2024,Location_C,29,61,Male,Regular,Mobile Payment,T50055,Pending,13,Not Returned,431,Evening,Bad
P1056,Electronics,Shirt,LG,Item_B,3363,6,3161.22,35,62,1.3,333,Supplier_C,3277,-115.78,2/26/2025,2/26/2024,Location_A,46,28,Male,VIP,Credit Card,T50056,Completed,7,Returned,615,Evening,Average
P1057,Groceries,Shirt,Apple,Item_A,786,34,518.76,128,10,2.7,0,Supplier_B,2682,-2163.24,2/27/2025,2/27/2024,Location_A,28,42,Male,Regular,Cash,T50057,Completed,9,Not Returned,622,Morning,Good
P1058,Groceries,Vegetables,LG,Item_A,3007,36,1924.48,7,14,2.9,332,Supplier_B,3338,-1413.52,2/28/2025,2/28/2024,Location_A,33,44,Female,Regular,Cash,T50058,Completed,10,Not Returned,937,Night,Average
P1059,Electronics,Vegetables,Sony,Item_C,4330,47,2294.9,37,40,1.6,485,Supplier_C,1946,348.9,3/1/2025,2/29/2024,Location_B,35,64,Female,Regular,Mobile Payment,T50059,Completed,10,Returned,498,Evening,Average
P1060,Furniture,Shirt,Samsung,Item_C,829,14,712.94,57,89,1.8,283,Supplier_C,709,3.94,3/2/2025,3/1/2024,Location_A,38,38,Male,VIP,Mobile Payment,T50060,Cancelled,10,Not Returned,665,Morning,Bad
P1061,Electronics,Vegetables,Samsung,Item_A,2082,34,1374.12,77,90,3.5,139,Supplier_B,468,906.12,3/3/2025,3/2/2024,Location_B,43,62,Female,New,Mobile Payment,T50061,Pending,2,Returned,475,Night,Bad
P1062,Groceries,Laptop,LG,Item_C,4330,6,4070.2,50,17,1.7,231,Supplier_C,3299,771.2,3/4/2025,3/3/2024,Location_C,5,36,Male,New,Credit Card,T50062,Completed,13,Returned,688,Morning,Good
P1063,Groceries,Shirt,Samsung,Item_A,504,42,292.32,129,29,1.4,215,Supplier_A,1993,-1700.68,3/5/2025,3/4/2024,Location_A,35,66,Female,Regular,Cash,T50063,Pending,9,Not Returned,589,Night,Bad
P1064,Furniture,Shirt,LG,Item_A,3978,24,3023.28,185,87,1.3,118,Supplier_C,904,2119.28,3/6/2025,3/5/2024,Location_B,40,42,Female,Regular,Mobile Payment,T50064,Pending,2,Not Returned,710,Evening,Average
P1065,Clothing,Laptop,Samsung,Item_B,1088,35,707.2,111,47,3.4,265,Supplier_C,3485,-2777.8,3/7/2025,3/6/2024,Location_A,36,21,Female,Regular,Cash,T50065,Pending,5,Returned,794,Evening,Bad
P1066,Furniture,Chairs,LG,Item_C,2855,26,2112.7,8,29,2.7,149,Supplier_A,2556,-443.3,3/8/2025,3/7/2024,Location_A,21,21,Male,Regular,Credit Card,T50066,Completed,10,Returned,485,Night,Good
P1067,Electronics,Vegetables,Nike,Item_B,1783,32,1212.44,106,16,1.3,44,Supplier_B,2313,-1100.56,3/9/2025,3/8/2024,Location_B,45,51,Male,VIP,Cash,T50067,Completed,6,Returned,507,Evening,Good
P1068,Furniture,Laptop,LG,Item_D,4591,26,3397.34,41,50,3.1,58,Supplier_A,527,2870.34,3/10/2025,3/9/2024,Location_A,29,34,Male,VIP,Credit Card,T50068,Completed,11,Returned,787,Evening,Average
P1069,Toys,Vegetables,LG,Item_B,3529,12,3105.52,81,41,4.9,64,Supplier_A,3957,-851.48,3/11/2025,3/10/2024,Location_A,17,47,Female,Regular,Credit Card,T50069,Cancelled,12,Returned,647,Evening,Bad
P1070,Toys,Chairs,Apple,Item_B,4838,23,3725.26,1,58,2.8,254,Supplier_B,1962,1763.26,3/12/2025,3/11/2024,Location_A,10,27,Female,VIP,Credit Card,T50070,Completed,2,Returned,706,Evening,Average
P1071,Groceries,Mobile,Samsung,Item_C,1278,39,779.58,46,5,4.7,370,Supplier_A,2719,-1939.42,3/13/2025,3/12/2024,Location_B,25,21,Male,New,Credit Card,T50071,Completed,10,Returned,535,Evening,Bad
P1072,Furniture,Mobile,Samsung,Item_C,1272,16,1068.48,170,65,2,216,Supplier_C,1384,-315.52,3/14/2025,3/13/2024,Location_A,46,54,Male,VIP,Credit Card,T50072,Completed,10,Not Returned,356,Morning,Good
P1073,Furniture,Vegetables,Samsung,Item_A,1595,4,1531.2,80,77,2.8,276,Supplier_C,2044,-512.8,3/15/2025,3/14/2024,Location_A,48,51,Male,Regular,Mobile Payment,T50073,Completed,8,Returned,947,Evening,Bad
P1074,Toys,Chairs,Sony,Item_C,1626,39,991.86,93,15,4,424,Supplier_C,3528,-2536.14,3/16/2025,3/15/2024,Location_A,27,28,Male,Regular,Mobile Payment,T50074,Pending,13,Returned,316,Night,Good
P1075,Toys,Mobile,Sony,Item_D,2838,33,1901.46,77,95,2.3,31,Supplier_A,1884,17.46,3/17/2025,3/16/2024,Location_A,34,22,Female,New,Cash,T50075,Cancelled,7,Not Returned,621,Morning,Average
P1076,Groceries,Mobile,Sony,Item_D,195,8,179.4,182,48,5,251,Supplier_A,3917,-3737.6,3/18/2025,3/17/2024,Location_C,6,46,Female,Regular,Mobile Payment,T50076,Completed,10,Returned,337,Night,Average
P1077,Toys,Laptop,Apple,Item_A,3462,3,3358.14,119,50,4.6,306,Supplier_B,2024,1334.14,3/19/2025,3/18/2024,Location_B,5,41,Male,New,Mobile Payment,T50077,Pending,6,Returned,738,Morning,Average
P1078,Groceries,Laptop,Nike,Item_A,2852,44,1597.12,137,43,1.4,57,Supplier_C,3491,-1893.88,3/20/2025,3/19/2024,Location_B,19,34,Male,VIP,Credit Card,T50078,Completed,3,Not Returned,834,Night,Good
P1079,Electronics,Laptop,Nike,Item_C,4245,0,4245,19,30,4.7,62,Supplier_B,3792,453,3/21/2025,3/20/2024,Location_C,37,51,Male,Regular,Credit Card,T50079,Pending,12,Not Returned,676,Morning,Average
P1080,Groceries,Mobile,Sony,Item_B,1970,48,1024.4,131,31,1.4,179,Supplier_B,3376,-2351.6,3/22/2025,3/21/2024,Location_C,44,59,Female,VIP,Cash,T50080,Pending,12,Returned,452,Evening,Average
P1081,Groceries,Laptop,Apple,Item_D,4079,38,2528.98,53,61,3.5,364,Supplier_A,2760,-231.02,3/23/2025,3/22/2024,Location_C,10,55,Male,New,Cash,T50081,Cancelled,11,Returned,833,Night,Good
P1082,Furniture,Shirt,Sony,Item_D,4044,17,3356.52,159,78,1,481,Supplier_A,2506,850.52,3/24/2025,3/23/2024,Location_B,40,38,Male,New,Mobile Payment,T50082,Pending,3,Returned,500,Morning,Bad
P1083,Clothing,Shirt,Apple,Item_A,4155,44,2326.8,134,90,3,293,Supplier_C,1070,1256.8,3/25/2025,3/24/2024,Location_B,47,61,Female,Regular,Mobile Payment,T50083,Completed,2,Not Returned,949,Night,Bad
P1084,Furniture,Mobile,LG,Item_A,346,0,346,50,81,2.7,26,Supplier_B,1349,-1003,3/26/2025,3/25/2024,Location_C,22,52,Female,Regular,Cash,T50084,Pending,12,Not Returned,968,Evening,Average
P1085,Electronics,Vegetables,Sony,Item_C,865,35,562.25,51,77,3,435,Supplier_C,2049,-1486.75,3/27/2025,3/26/2024,Location_B,13,54,Female,New,Cash,T50085,Cancelled,8,Not Returned,944,Night,Bad
P1086,Groceries,Mobile,Apple,Item_C,1786,29,1268.06,28,36,1.4,476,Supplier_B,2263,-994.94,3/28/2025,3/27/2024,Location_C,34,33,Female,Regular,Mobile Payment,T50086,Pending,6,Not Returned,390,Night,Bad
P1087,Furniture,Shirt,Nike,Item_A,3602,6,3385.88,191,48,1.2,405,Supplier_C,2877,508.88,3/29/2025,3/28/2024,Location_B,11,54,Male,New,Cash,T50087,Pending,9,Not Returned,722,Evening,Average
P1088,Clothing,Mobile,Samsung,Item_C,1301,29,923.71,50,32,2.1,349,Supplier_C,2237,-1313.29,3/30/2025,3/29/2024,Location_B,4,22,Male,VIP,Mobile Payment,T50088,Pending,3,Returned,868,Night,Average
P1089,Clothing,Laptop,Sony,Item_C,2834,0,2834,164,68,4.4,103,Supplier_A,1327,1507,3/31/2025,3/30/2024,Location_C,39,35,Female,New,Cash,T50089,Completed,1,Returned,128,Evening,Average
P1090,Toys,Shirt,Samsung,Item_D,1304,1,1290.96,62,92,1.1,378,Supplier_C,2711,-1420.04,4/1/2025,3/31/2024,Location_A,2,40,Male,Regular,Cash,T50090,Completed,5,Not Returned,893,Evening,Bad
P1091,Electronics,Mobile,Nike,Item_A,1527,25,1145.25,11,72,3.1,354,Supplier_B,2002,-856.75,4/2/2025,4/1/2024,Location_B,33,32,Female,VIP,Mobile Payment,T50091,Pending,13,Not Returned,532,Evening,Average
P1092,Groceries,Laptop,Sony,Item_B,2738,35,1779.7,176,36,3.5,424,Supplier_A,764,1015.7,4/3/2025,4/2/2024,Location_C,39,53,Male,New,Cash,T50092,Pending,14,Returned,523,Morning,Bad
P1093,Clothing,Shirt,Nike,Item_D,4096,45,2252.8,98,69,4.6,465,Supplier_A,1195,1057.8,4/4/2025,4/3/2024,Location_B,28,34,Female,New,Cash,T50093,Pending,5,Returned,666,Morning,Bad
P1094,Clothing,Shirt,Nike,Item_C,3950,36,2528,89,61,4.1,13,Supplier_A,1925,603,4/5/2025,4/4/2024,Location_B,39,60,Male,Regular,Credit Card,T50094,Completed,11,Returned,406,Morning,Good
P1095,Groceries,Vegetables,Apple,Item_C,860,49,438.6,93,75,3.6,323,Supplier_A,1419,-980.4,4/6/2025,4/5/2024,Location_A,8,47,Male,New,Cash,T50095,Pending,3,Returned,500,Evening,Good
P1096,Electronics,Mobile,Nike,Item_D,4439,46,2397.06,150,33,3,331,Supplier_B,378,2019.06,4/7/2025,4/6/2024,Location_C,31,69,Male,VIP,Mobile Payment,T50096,Cancelled,6,Not Returned,482,Night,Average
P1097,Electronics,Shirt,Samsung,Item_C,944,31,651.36,191,45,2.3,422,Supplier_B,3879,-3227.64,4/8/2025,4/7/2024,Location_A,3,64,Female,VIP,Credit Card,T50097,Cancelled,9,Not Returned,327,Morning,Average
P1098,Toys,Vegetables,Nike,Item_C,2461,31,1698.09,62,33,2.9,481,Supplier_A,3626,-1927.91,4/9/2025,4/8/2024,Location_A,15,66,Female,Regular,Credit Card,T50098,Completed,14,Not Returned,161,Morning,Good
P1099,Electronics,Vegetables,Sony,Item_B,3363,7,3127.59,10,3,2.4,481,Supplier_C,3799,-671.41,4/10/2025,4/9/2024,Location_B,28,36,Male,VIP,Cash,T50099,Completed,3,Not Returned,756,Morning,Average
P1100,Clothing,Chairs,Apple,Item_D,4375,5,4156.25,6,0,1.3,455,Supplier_C,3420,736.25,4/11/2025,4/10/2024,Location_C,32,43,Female,VIP,Mobile Payment,T50100,Completed,8,Not Returned,970,Night,Average
P1101,Electronics,Laptop,Apple,Item_A,1381,7,1284.33,12,85,1.5,162,Supplier_C,1399,-114.67,4/12/2025,4/11/2024,Location_C,2,61,Male,VIP,Mobile Payment,T50101,Completed,1,Not Returned,916,Evening,Bad
P1102,Groceries,Shirt,Sony,Item_D,2325,20,1860,155,95,2,168,Supplier_C,2125,-265,4/13/2025,4/12/2024,Location_B,8,58,Female,New,Mobile Payment,T50102,Completed,10,Returned,445,Night,Average
P1103,Toys,Mobile,LG,Item_A,568,35,369.2,101,28,3.5,82,Supplier_B,1167,-797.8,4/14/2025,4/13/2024,Location_C,35,28,Female,VIP,Credit Card,T50103,Pending,14,Not Returned,239,Evening,Bad
P1104,Clothing,Laptop,Apple,Item_B,3339,22,2604.42,26,57,4.2,382,Supplier_C,695,1909.42,4/15/2025,4/14/2024,Location_C,15,36,Male,Regular,Cash,T50104,Pending,9,Returned,616,Evening,Average
P1105,Furniture,Vegetables,Sony,Item_B,110,21,86.9,153,22,1.2,449,Supplier_A,3952,-3865.1,4/16/2025,4/15/2024,Location_B,16,28,Male,New,Credit Card,T50105,Cancelled,5,Returned,335,Evening,Average
P1106,Clothing,Vegetables,Samsung,Item_A,1669,41,984.71,23,2,2.8,154,Supplier_C,3859,-2874.29,4/17/2025,4/16/2024,Location_C,36,55,Male,Regular,Credit Card,T50106,Cancelled,1,Returned,510,Night,Good
P1107,Groceries,Chairs,Samsung,Item_B,2983,11,2654.87,69,72,1.1,200,Supplier_A,1923,731.87,4/18/2025,4/17/2024,Location_B,26,53,Male,Regular,Credit Card,T50107,Cancelled,11,Not Returned,899,Morning,Good
P1108,Furniture,Shirt,Apple,Item_A,1758,1,1740.42,49,16,2.3,98,Supplier_A,1529,211.42,4/19/2025,4/18/2024,Location_A,25,59,Male,VIP,Mobile Payment,T50108,Completed,8,Not Returned,736,Night,Good
P1109,Groceries,Mobile,Samsung,Item_D,2376,31,1639.44,175,40,4.9,307,Supplier_A,2336,-696.56,4/20/2025,4/19/2024,Location_B,12,20,Male,VIP,Cash,T50109,Pending,11,Returned,400,Night,Good
P1110,Clothing,Laptop,Sony,Item_C,2532,44,1417.92,83,31,1.6,431,Supplier_A,2600,-1182.08,4/21/2025,4/20/2024,Location_B,28,29,Male,VIP,Credit Card,T50110,Completed,10,Returned,515,Night,Good
P1111,Electronics,Mobile,Nike,Item_C,3340,37,2104.2,123,48,1.5,476,Supplier_B,1129,975.2,4/22/2025,4/21/2024,Location_A,6,24,Female,Regular,Mobile Payment,T50111,Cancelled,10,Not Returned,507,Night,Average
P1112,Clothing,Vegetables,Apple,Item_D,4680,30,3276,105,5,3.9,81,Supplier_A,2172,1104,4/23/2025,4/22/2024,Location_B,37,65,Male,Regular,Cash,T50112,Cancelled,14,Returned,166,Morning,Average
P1113,Furniture,Laptop,Samsung,Item_C,4330,5,4113.5,12,48,4.5,320,Supplier_A,1588,2525.5,4/24/2025,4/23/2024,Location_A,18,47,Male,New,Mobile Payment,T50113,Cancelled,12,Not Returned,951,Night,Bad
P1114,Clothing,Chairs,Samsung,Item_B,2406,8,2213.52,157,74,3.4,425,Supplier_C,1839,374.52,4/25/2025,4/24/2024,Location_B,12,68,Male,VIP,Mobile Payment,T50114,Completed,8,Returned,173,Evening,Good
P1115,Clothing,Chairs,Apple,Item_D,170,32,115.6,104,58,4.1,467,Supplier_B,3777,-3661.4,4/26/2025,4/25/2024,Location_B,6,18,Male,Regular,Credit Card,T50115,Cancelled,1,Returned,988,Evening,Average
